Quế Ngọc Hải,0,Hậu vệ,180,77,5/15/1993,https://vpf.vn/wp-content/uploads/2018/12/BDFC_3_QueNgocHai_VN001612-150x150.jpg
Janclesio Almeida Santos,0,Hậu vệ,190,80,4/22/1993,https://vpf.vn/wp-content/uploads/2018/12/BDFC_4_AlmeidaSantosJanclesio_BR001613-150x150.jpg
Ryan Ha,0,Tiền đạo,184,84,8/24/1997,https://vpf.vn/wp-content/uploads/2018/12/BDFC_7_RyanHa_FR001618-150x150.jpg
Tống Anh Tỷ,0,Tiền vệ,173,73,1/24/1997,https://vpf.vn/wp-content/uploads/2018/12/BDFC_8_TongAnhTy_VN0000160-150x150.jpg
Ibara Doniama Prince Vinny,0,Tiền đạo,190,92,2/7/1996,https://vpf.vn/wp-content/uploads/2018/12/BDFC_9_IbaraDoniamaPrinceVinny_CG001621-150x150.jpg
Hồ Sỹ Giáp,0,Tiền đạo,176,67,4/18/1994,https://vpf.vn/wp-content/uploads/2018/12/10-ho-sy-giap-150x150.jpg
Bùi Vĩ Hào,0,Tiền đạo,175,68,2/24/2003,https://vpf.vn/wp-content/uploads/2018/12/BDFC_11_BuiViHao_VN0001113-150x150.jpg
Trần Duy Khánh,0,Tiền vệ,172,77,7/20/1997,https://vpf.vn/wp-content/uploads/2018/12/BDFC_12_TranDuyKhanh_VN0001114-150x150.jpg
Nguyễn Hải Huy,0,Tiền vệ,175,70,6/18/1991,https://vpf.vn/wp-content/uploads/2018/12/BDFC_14_NguyenHaiHuy_VN001624-150x150.jpg
Nguyễn Trần Việt Cường,0,Tiền vệ,180,68,12/27/2000,https://vpf.vn/wp-content/uploads/2018/12/BDFC_16_NguyenTranVietCuong_VN0001116-150x150.jpg
Võ Minh Trọng,0,Hậu vệ,170,59,10/24/2001,https://vpf.vn/wp-content/uploads/2020/01/PTFC_VN0001018_VoMinhTrong_20-150x150.jpg
Hà Trung Hậu,0,Hậu vệ,178,77,10/3/2002,https://vpf.vn/wp-content/uploads/2018/12/BDFC_18_HaTrungHau_VN001625-150x150.jpg
Nguyễn Thành Lộc,0,Hậu vệ,172,67,2/23/1997,https://vpf.vn/wp-content/uploads/2018/12/BFC_VN0002242_NguyenThanhLoc_4-150x150.jpg
Đoàn Tuấn Cảnh,0,Hậu vệ,176,69,7/27/1998,https://vpf.vn/wp-content/uploads/2018/12/BDFC_20_DoanTuanCanh_VN001626-150x150.jpg
Trần Đình Khương,0,Tiền vệ,179,75,1/10/1996,https://vpf.vn/wp-content/uploads/2018/12/BDFC_21_TranDinhKhuong_VN0001117-150x150.jpg
Nguyễn Tiến Linh,0,Tiền đạo,181,75,10/20/1997,https://vpf.vn/wp-content/uploads/2018/12/BDFC_22_NguyenTienLinh_VN001627-150x150.jpg
Vũ Tuyên Quang,0,Thủ môn,185,72,7/5/1995,https://vpf.vn/wp-content/uploads/2018/12/BDFC_23_VuTuyenQuang_VN001628-150x150.jpg
Trần Hoàng Bảo,0,Tiền vệ,177,65,5/15/2001,https://vpf.vn/wp-content/uploads/2023/03/BDFC_24_TranHoangBao_VN001629-150x150.jpg
Trần Minh Toàn,0,Thủ môn,186,85,1/21/1996,https://vpf.vn/wp-content/uploads/2018/12/BDFC_25_TranMinhToan_VN001630-150x150.jpg
Đoàn Hải Quân,0,Tiền vệ,178,67,2/12/1997,https://vpf.vn/wp-content/uploads/2018/12/z4766389422226_8cab8b5a36d9d6cfd3baa8bbea9a23da-150x150.jpg
